GS AS 2016 Country List,,UN - GGeographical (continental) regions,UN - Geographical sub-regions
Afghanistan,1,Asia,Southern Asia
Albania,1,Europe,Southern Europe
Algeria,1,Africa,Northern Africa
Andorra,1,Europe,Southern Europe
Angola,1,Africa,Middle Africa
Anguillan (UK),1,Americas,Caribbean
Antigua and Barbuda,1,Americas,Caribbean
Argentina,1,Americas,South America
Armenia,1,Asia,Western Asia
Aruba (Netherlands),1,Americas,Caribbean
Australia,1,Oceania,Australia and New Zealand
Austria,1,Europe,Western Europe
Azerbaijan,1,Asia,Western Asia
Bahamas,1,Americas,Caribbean
Bahrain,1,Asia,Western Asia
Bangladesh,1,Asia,Southern Asia
Barbados,1,Americas,Caribbean
Belarus,1,Europe,Eastern Europe
Belgium,1,Europe,Western Europe
Belize,1,Americas,Central America
Benin,1,Africa,Western Africa
Bermuda (UK),1,Americas,Northern America
Bhutan,1,Asia,Southern Asia
Bolivia,1,Americas,South America
Bosnia and Herzegovina,1,Europe,Southern Europe
Botswana,1,Africa,Southern Africa
Brazil,1,Americas,South America
British Virgin Islands (UK),1,Americas,Caribbean
Brunei,1,Asia,South-Eastern Asia
Bulgaria,1,Europe,Eastern Europe
Burkina Faso,1,Africa,Western Africa
Burma,1,Asia,South-Eastern Asia
Burundi,1,Africa,Eastern Africa
Cambodia,1,Asia,South-Eastern Asia
Cameroon,1,Africa,Middle Africa
Canada,1,Americas,Northern America
Cape Verde,1,Africa,Western Africa
Cayman Islands (UK),1,Americas,Caribbean
Central African Republic,1,Africa,Middle Africa
Chad,1,Africa,Middle Africa
Chile,1,Americas,South America
China,1,Asia,Eastern Asia
Christmas Island (Australia),1,Oceania,Australia and New Zealand
Cocos (Keeling) Islands (Australia),1,Oceania,Australia and New Zealand
Colombia,1,Americas,South America
Comoros,1,Africa,Eastern Africa
Cook Islands (NZ),1,Oceania,Polynesia
Costa Rica,1,Americas,Central America
Croatia,1,Europe,Southern Europe
Cuba,1,Americas,Caribbean
Curacao (Netherlands),1,Americas,Caribbean
Cyprus,1,Asia,Western Asia
Czech Republic,1,Europe,Eastern Europe
Democratic Republic of the Congo,1,Africa,Middle Africa
Denmark,1,Europe,Northern Europe
Djibouti,1,Africa,Eastern Africa
Dominica,1,Americas,Caribbean
Dominican Republic,1,Americas,Caribbean
Ecuador,1,Americas,South America
Egypt,1,Africa,Northern Africa
El Salvador,1,Americas,Central America
Equatorial Guinea,1,Africa,Middle Africa
Eritrea,1,Africa,Eastern Africa
Estonia,1,Europe,Northern Europe
Ethiopia,1,Africa,Eastern Africa
Falkland Islands (UK),1,Americas,South America
Faroe Islands (Denmark),1,Europe,Northern Europe
Federated States of Micronesia,1,Oceania,Micronesia
Fiji,1,Oceania,Melanesia
Finland,1,Europe,Northern Europe
France,1,Europe,Western Europe
French Guiana (France),1,Americas,South America
French Polynesia (France),1,Oceania,Polynesia
Gabon,1,Africa,Middle Africa
Gambia,1,Africa,Western Africa
Georgia,1,Asia,Western Asia
Germany,1,Europe,Western Europe
Ghana,1,Africa,Western Africa
Gibraltar (UK),1,Europe,Southern Europe
Greece,1,Europe,Southern Europe
Greenland (Denmark),1,Americas,Northern America
Grenada,1,Americas,Caribbean
Guadeloupe (France),1,Americas,Caribbean
Guam (USA),1,Oceania,Micronesia
Guatemala,1,Americas,Central America
Guernsey (UK),1,Europe,Northern Europe
Guinea,1,Africa,Western Africa
Guinea-Bissau,1,Africa,Western Africa
Guyana,1,Americas,South America
Haiti,1,Americas,Caribbean
Honduras,1,Americas,Central America
Hong Kong (China),1,Asia,Eastern Asia
Hungary,1,Europe,Eastern Europe
Iceland,1,Europe,Northern Europe
India,1,Asia,Southern Asia
Indonesia,1,Asia,South-Eastern Asia
Iran,1,Asia,Southern Asia
Iraq,1,Asia,Western Asia
Ireland,1,Europe,Northern Europe
Isle of Man (UK),1,Europe,Northern Europe
Israel,1,Asia,Western Asia
Italy,1,Europe,Southern Europe
Ivory Coast,1,Africa,Western Africa
Jamaica,1,Americas,Caribbean
Japan,1,Asia,Eastern Asia
Jersey (UK),1,Europe,Northern Europe
Jordan,1,Asia,Western Asia
Kazakhstan,1,Asia,Central Asia
Kenya,1,Africa,Eastern Africa
Kiribati,1,Oceania,Micronesia
Kosovo,1,Europe,Southern Europe
Kuwait,1,Asia,Western Asia
Kyrgyzstan,1,Asia,Central Asia
Laos,1,Asia,South-Eastern Asia
Latvia,1,Europe,Northern Europe
Lebanon,1,Asia,Western Asia
Lesotho,1,Africa,Southern Africa
Liberia,1,Africa,Western Africa
Libya,1,Africa,Northern Africa
Liechtenstein,1,Europe,Western Europe
Lithuania,1,Europe,Northern Europe
Luxembourg,1,Europe,Western Europe
Macau (China),1,Asia,Eastern Asia
Macedonia,1,Europe,Southern Europe
Madagascar,1,Africa,Eastern Africa
Malawi,1,Africa,Eastern Africa
Malaysia,1,Asia,South-Eastern Asia
Maldives,1,Asia,Southern Asia
Mali,1,Africa,Western Africa
Malta,1,Europe,Southern Europe
Marshall Islands,1,Oceania,Micronesia
Martinique (France),1,Americas,Caribbean
Mauritania,1,Africa,Western Africa
Mauritius,1,Africa,Eastern Africa
Mayotte (France),1,Africa,Eastern Africa
Mexico,1,Americas,Central America
Moldov,1,Europe,Eastern Europe
Monaco,1,Europe,Western Europe
Mongolia,1,Asia,Eastern Asia
Montenegro,1,Europe,Southern Europe
Montserrat (UK),1,Americas,Caribbean
Morocco,1,Africa,Northern Africa
Mozambique,1,Africa,Eastern Africa
Namibia,1,Africa,Southern Africa
Nauru,1,Oceania,Micronesia
Nepal,1,Asia,Southern Asia
Netherlands,1,Europe,Western Europe
New Caledonia (France),1,Oceania,Melanesia
New Zealand,1,Oceania,Australia and New Zealand
Nicaragua,1,Americas,Central America
Niger,1,Africa,Western Africa
Nigeria,1,Africa,Western Africa
Niue (NZ),1,Oceania,Polynesia
Norfolk Island (Australia),1,Oceania,Australia and New Zealand
North Korea,1,Asia,Eastern Asia
Northern Mariana Islands (USA),1,Oceania,Micronesia
Norway,1,Europe,Northern Europe
Oman,1,Asia,Western Asia
Pakistan,1,Asia,Southern Asia
Palau,1,Oceania,Micronesia
Palestine,1,Asia,Western Asia
Panama,1,Americas,Central America
Papua New Guinea,1,Oceania,Melanesia
Paraguay,1,Americas,South America
Peru,1,Americas,South America
Philippines,1,Asia,South-Eastern Asia
Pitcairn Islands (UK),1,Oceania,Polynesia
Poland,1,Europe,Eastern Europe
Portugal,1,Europe,Southern Europe
Puerto Rico,1,Americas,Caribbean
Qatar,1,Asia,Western Asia
Republic of the Congo,1,Africa,Middle Africa
Reunion (France),1,Africa,Eastern Africa
Romania,1,Europe,Eastern Europe
Russia,1,Europe,Eastern Europe
Rwanda,1,Africa,Eastern Africa
Saint Barthelemy (France),1,Americas,Caribbean
"Saint Helena, Ascension and Tristan da Cunha (UK)",1,Africa,Western Africa
Saint Kitts and Nevis,1,Americas,Caribbean
Saint Lucia,1,Americas,Caribbean
Saint Martin (France),1,Americas,Caribbean
Saint Pierre and Miquelon (France),1,Americas,Northern America
Saint Vincent and the Grenadines,1,Americas,Caribbean
Samoa,1,Oceania,Polynesia
San Marino,1,Europe,Southern Europe
Sao Tom and Principe,1,Africa,Middle Africa
Saudi Arabia,1,Asia,Western Asia
Senegal,1,Africa,Western Africa
Serbia,1,Europe,Southern Europe
Seychelles,1,Africa,Eastern Africa
Sierra Leone,1,Africa,Western Africa
Singapore,1,Asia,South-Eastern Asia
Sint Maarten (Netherlands),1,Americas,Caribbean
Slovakia,1,Europe,Eastern Europe
Slovenia,1,Europe,Southern Europe
Solomon Islands,1,Oceania,Melanesia
Somalia,1,Africa,Eastern Africa
South Africa,1,Africa,Southern Africa
South Korea,1,Asia,Eastern Asia
South Sudan,1,Africa,Eastern Africa
Spain,1,Europe,Southern Europe
Sri Lanka,1,Asia,Southern Asia
Sudan,1,Africa,Northern Africa
Suriname,1,Americas,South America
Svalbard and Jan Mayen (Norway),1,Europe,Northern Europe
Swaziland,1,Africa,Southern Africa
Sweden,1,Europe,Northern Europe
Switzerland,1,Europe,Western Europe
Syria,1,Asia,Western Asia
Taiwan,1,Asia,Eastern Asia
Tajikistan,1,Asia,Central Asia
Tanzania,1,Africa,Eastern Africa
Thailand,1,Asia,South-Eastern Asia
Timor-Leste,1,Asia,South-Eastern Asia
Togo,1,Africa,Western Africa
Tokelau (NZ),1,Oceania,Polynesia
Tonga,1,Oceania,Polynesia
Trinidad and Tobago,1,Americas,Caribbean
Tunisia,1,Africa,Northern Africa
Turkey,1,Asia,Western Asia
Turkmenistan,1,Asia,Central Asia
Turks and Caicos Islands (UK),1,Americas,Caribbean
Tuvalu,1,Oceania,Polynesia
Uganda,1,Africa,Eastern Africa
Ukraine,1,Europe,Eastern Europe
United Arab Emirates,1,Asia,Western Asia
United Kingdom,1,Europe,Northern Europe
United States,1,Americas,Northern America
United States Virgin Islands (USA),1,Americas,Caribbean
Uruguay,1,Americas,South America
Uzbekistan,1,Asia,Central Asia
Vanuatu,1,Oceania,Melanesia
Vatican City,1,Europe,Southern Europe
Venezuela,1,Americas,South America
Vietnam,1,Asia,South-Eastern Asia
Wallis and Futuna (France),1,Oceania,Polynesia
Western Sahara,1,Africa,Northern Africa
Yemen,1,Asia,Western Asia
Zambia,1,Africa,Eastern Africa
Zimbabwe,1,Africa,Eastern Africa
