Column,Description,Tag,Description,Answer Choices,Logic
1,Finished,EmbeddedData-Finished,0 - Partial Survey 1 - Answers Submitted,"0,1",
2,Country,EmbeddedData-Country,"Countries and territories: assignment based on answers regarding country of nationality and country of residence and which country the respondent will be answering questions about. For few cases where data was missing, we used other information available (such as city of residence) to assign a country.",List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),
3,Region_UN,EmbeddedData-Region_Sub_UN,"Based on country, corresponding UN region. 6 regions.",List of 6 UN Regions (see ListOfCountriesAndTerritories.csv),
4,Region_Sub_UN,EmbeddedData-Income_WorldBank,"Based on coutry, corresponding UN Sub-region. 21 regions.",List of 21 UN sub-regions (see ListOfCountriesAndTerritories.csv),
5,Q_Language,EmbeddedData-Q_Language,"Language in which the survey was taken. 9 different languages. For 230 records, the language information is missing (coded as NA)","Arabic (AR), Chinese (ZH-S), English (EN), French (FR),  Polish (PL), Portuguese (PT), Russian (RU), Spanish (ES),  Ukrainian (UK), Non-Available (NA)",
6,What do young people think about the world? What do they want to do about it?   Dear Global Shape...,QID93,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
7,"Instructions   A: If you do not know the answer, please leave it blank or select the ""I don't kno...",QID275,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
8,Progress_0.png,QID344,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
9,The following questions seek to gather some basic background information. The information we are...,QID299,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
10,What is your gender?,QID87,Background - Gender,"Female, Male, Other",
11,Please select your age group.,QID88,Background - Age Group,"less then 18, 18-21, 22-26, 27-30, 31-35, more than 35",
12,Select your country of nationality from the list below.,QID89,Background - Country of Nationality,List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),
13,Is this also your country of residence?,QID357,Background - Country of Residence?,"Yes, No",
14,Select your country of residence from the list below.,QID356,Background - Country of Residence,List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),
15,"In future questions, we will ask you to comment on ""your country"". Please select the country that...",QID90,Background - Country for Survey,"I will comment about my country of nationality, I will comment about my country of residence ",Answer If Is this country the same country as your country of residence? No Is Selected
16,Progress_5.png,QID369,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
17,Please select which option describes your current employment / education status?,QID91,Employment Status,"Entrepreneur / self-employed (includes artists, athletes, business owners), Employee in company with less than 50 employees, Employee in company with less than 250 employees, Employee in company with more than 250 employees, Employee in the public sector, Academic & scientist, University student, Secondary school student, Employee in NGO / international organization, Unemployed, Other",
18,Progress_10.png,QID342,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
19,How do young people see the world? How do you see your world?    ,QID298,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
20,Would you say the world is...,QID165,Single Answer Choice,"Full of opportunities, Full of struggles",
